Matter ID,Client,Status,Hours,Rate,Date
1001,Delta,Open,6.5,250,2025-07-13
1002,Epsilon,Open,10.0,250,2025-07-14
1003,Gamma,Closed,2.4,250,2025-07-15
1004,Epsilon,Open,1.3,400,2025-07-16
1005,Epsilon,Open,1.7,325,2025-07-17
1006,Beta,Nearing Deadline,2.7,250,2025-07-18
1007,Gamma,Open,8.3,475,2025-07-19
1008,Gamma,Nearing Deadline,10.1,250,2025-07-20
1009,Gamma,Open,4.8,250,2025-07-21
1010,Epsilon,Open,3.4,400,2025-07-22
1011,Delta,Closed,1.4,400,2025-07-23
1012,Gamma,Closed,11.4,325,2025-07-24
1013,Epsilon,Closed,12.0,475,2025-07-25
1014,Beta,Open,2.7,400,2025-07-26
1015,Delta,Open,2.3,250,2025-07-27
1016,Beta,Nearing Deadline,5.3,325,2025-07-28
1017,Delta,Open,14.2,250,2025-07-29
1018,Epsilon,Open,7.1,250,2025-07-30
1019,Alpha,Open,4.1,400,2025-07-31
1020,Delta,Open,5.4,325,2025-08-01
1021,Beta,Closed,1.6,475,2025-08-02
1022,Epsilon,Open,11.1,475,2025-08-03
1023,Delta,Nearing Deadline,3.7,400,2025-08-04
1024,Alpha,Open,1.4,400,2025-08-05
1025,Alpha,Open,4.8,325,2025-08-06
1026,Gamma,Open,4.0,475,2025-08-07
1027,Gamma,Open,7.9,475,2025-08-08
1028,Beta,Closed,11.8,475,2025-08-09
1029,Delta,Closed,13.3,250,2025-08-10
1030,Delta,Closed,6.4,475,2025-08-11
